Postcode,Avg asking price,Avg blended ÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ¡ÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂª/sqft,Sales per month,Turnover (sale),Avg asking rent (pm),Avg yield,3yr,Crime rate,Avg. household income,Social rent
SA2 9,"350,375",258,6,20%,,,6%,47,"41,600",10%
SA20 0,"280,665",201,,,,,23%,52,"36,200",5%
SA3 1,"479,968",330,2,4%,,,22%,35,"46,600",8%
SA3 2,"444,829",295,4,31%,,,25%,18,"46,600",1%
SA3 3,"413,331",316,3,12%,,,13%,20,"49,400",2%
SA3 4,"437,563",347,6,7%,,,18%,42,"47,300",12%
SA3 5,"387,023",285,5,10%,,,4%,59,"42,500",12%
SA31 1,"212,029",172,5,16%,,,-1%,144,"39,100",20%
SA31 2,"333,650",222,3,11%,,,9%,90,"39,000",4%
SA31 3,"273,214",217,6,16%,,,19%,133,"39,700",20%
SA32 7,"397,328",236,2,5%,,,-3%,29,"41,300",2%
SA32 8,"458,650",241,3,9%,,,11%,34,"40,000",6%
SA33 4,"332,908",225,3,5%,,,15%,44,"40,500",8%
SA33 5,"404,381",246,2,5%,,,51%,28,"39,500",5%
SA33 6,"425,998",222,2,5%,,,20%,16,"39,500",4%
SA34 0,"355,067",233,3,7%,,,11%,38,"39,700",2%
SA37 0,"404,992",225,,,,,,43,"36,700",4%
SA38 9,"299,780",233,4,8%,,,83%,54,"35,100",5%
SA39 9,"311,788",200,2,6%,,,,57,"36,400",7%
SA4 0,"256,247",203,5,42%,,,-2%,47,"41,800",3%
SA4 3,"319,790",247,6,13%,,,9%,49,"40,600",3%
SA4 4,"224,569",199,7,25%,,,5%,84,"37,100",23%
SA4 6,"274,998",222,5,26%,,,-1%,49,"38,400",11%
SA4 8,"214,727",199,8,40%,,,12%,73,"37,700",5%
SA4 9,"299,498",257,4,10%,,,6%,41,"45,800",8%
SA40 9,"309,448",198,,,,,40%,34,"36,300",5%
SA41 3,"289,867",219,,,,,,61,"36,700",6%
SA42 0,"462,829",332,5,15%,,,-3%,29,"34,700",1%
SA43 1,"316,942",214,5,8%,,,-14%,138,"31,900",13%
SA43 2,"329,083",244,4,4%,,,14%,54,"33,300",2%
SA43 3,"291,888",263,3,7%,,,-7%,64,"35,600",9%
SA44 4,"355,766",197,2,3%,,,34%,48,"34,500",4%
SA44 5,"365,548",233,3,5%,,,16%,42,"35,400",5%
SA44 6,"388,031",256,3,7%,,,20%,40,"35,500",3%
SA45 9,"339,492",284,,,,,5%,69,"35,500",2%
SA46 0,"317,996",248,2,6%,,,39%,75,"36,900",3%
SA48 7,"287,728",209,2,4%,,,15%,73,"36,000",6%
SA48 8,"370,632",237,2,4%,,,22%,40,"36,300",6%
SA5 4,"236,999",179,4,31%,,,31%,116,"36,100",32%
SA5 7,"276,996",155,3,26%,,,26%,123,"34,400",11%
SA5 8,"160,879",155,6,38%,,,11%,86,"35,000",23%
SA5 9,"158,124",152,7,54%,,,12%,91,"34,900",18%
SA6 5,"288,102",194,5,20%,,,11%,51,"36,600",6%
SA6 6,"233,277",232,9,55%,,,8%,84,"39,800",17%
SA6 7,"152,196",148,4,28%,,,23%,115,"35,700",25%
SA6 8,,128,3,37%,,,18%,183,"34,900",15%
SA61 1,"238,323",206,6,9%,,,13%,140,"35,000",9%
SA61 2,"220,762",173,6,23%,,,-1%,183,"34,200",14%
SA62 3,"273,799",238,3,5%,,,-7%,58,"37,500",3%
SA62 4,"369,550",242,3,7%,,,18%,36,"38,200",7%
SA62 5,"361,982",239,4,6%,,,36%,32,"36,500",8%
SA62 6,"387,070",288,3,4%,,,13%,39,"36,900",6%
SA63 4,"418,333",202,,,,,,21,"38,700",2%
SA64 0,"306,318",200,3,11%,,,,67,"34,400",5%
SA65 9,"270,530",218,2,3%,,,13%,89,"34,400",12%
SA66 7,"297,778",225,2,6%,,,38%,29,"39,200",2%
SA67 7,"233,993",244,4,12%,,,11%,80,"36,400",4%
SA67 8,"367,253",275,3,5%,,,12%,35,"36,400",4%
SA68 0,"312,720",275,3,8%,,,28%,35,"36,300",4%
SA69 9,"339,316",318,4,5%,,,16%,45,"36,200",5%
SA7 9,"201,483",206,7,30%,,,17%,82,"41,700",6%
SA70 7,"364,331",317,4,4%,,,7%,144,"36,400",6%
SA70 8,"345,819",285,3,3%,,,,55,"36,500",7%
SA71 4,"210,908",197,3,6%,,,20%,100,"33,000",41%
SA71 5,"332,871",231,4,6%,,,14%,64,"34,700",11%
SA72 6,"173,019",154,5,6%,,,2%,124,"32,100",15%
SA73 1,"295,105",197,8,13%,,,19%,88,"36,300",8%
SA73 2,"168,476",149,3,10%,,,30%,135,"33,300",27%
SA73 3,"247,916",176,2,6%,,,9%,143,"33,900",22%
SA8 3,"237,774",220,3,9%,,,18%,41,"37,400",2%
SA8 4,"217,396",185,4,11%,,,23%,80,"37,300",9%
SA9 1,"278,634",181,6,9%,,,21%,74,"37,100",11%
SA9 2,"199,927",169,6,12%,,,26%,58,"36,200",12%
SE1 0,"738,133",905,2,4%,,,66%,337,"59,700",39%
SE1 1,"738,040",828,2,4%,"2,991",4.90%,98%,443,"65,800",38%
SE1 2,"889,450",936,7,6%,"2,907",3.90%,22%,289,"88,400",26%
SE1 3,"601,890",861,7,8%,"2,699",5.40%,-21%,172,"75,900",36%
SE1 4,"566,348",796,8,10%,"2,465",5.20%,-11%,156,"58,600",43%
SE1 5,"506,562",786,5,8%,"2,360",5.60%,-38%,191,"48,000",47%
SE1 6,"545,109",860,4,6%,"2,656",5.80%,5%,340,"57,200",39%
SE1 7,"930,149","1,066",6,4%,"3,325",4.30%,388%,573,"50,900",40%
SE1 8,"869,545","1,013",3,10%,"3,164",4.40%,102%,864,"49,700",22%
SE1 9,"1,603,238","1,317",,,,,-10%,994,"63,100",29%
SE10 0,"565,692",739,16,7%,"2,239",4.80%,-4%,376,"53,800",13%
SE10 8,"506,463",721,8,7%,"2,027",4.80%,-2%,143,"53,800",20%
SE10 9,"523,280",706,11,11%,"2,248",5.20%,-24%,265,"53,700",33%
SE11 4,"672,579",807,5,10%,"2,629",4.70%,20%,142,"54,800",44%
SE11 5,"779,336",935,4,4%,"2,503",3.90%,-2%,197,"59,700",41%
SE11 6,"454,086",717,3,9%,,,10%,111,"54,400",57%
SE12 0,"492,343",507,6,14%,"1,677",4.10%,1%,105,"59,700",25%
SE12 8,"470,150",565,7,15%,,,2%,85,"58,900",19%
SE12 9,"469,167",490,7,17%,,,3%,96,"51,400",25%
SE13 5,"442,165",614,8,11%,"1,812",4.90%,7%,160,"61,900",21%
SE13 6,"369,699",555,10,15%,"1,625",5.30%,10%,203,"57,500",26%
SE13 7,"413,734",619,10,7%,"1,891",5.50%,-5%,165,"59,400",26%
SE14 5,"445,075",631,15,15%,"1,649",4.40%,8%,107,"55,200",31%
SE14 6,"457,625",636,3,4%,"1,853",4.90%,3%,182,"48,500",33%
SE15 1,"504,526",595,2,6%,,,39%,145,"46,000",52%
SE15 2,"505,813",661,8,12%,"2,230",5.30%,7%,124,"49,900",47%
SE15 3,"546,039",699,14,17%,"2,271",5.00%,5%,87,"55,700",38%
SE15 4,"688,143",811,7,18%,"2,130",3.70%,8%,128,"63,600",25%
SE15 5,"541,362",693,3,8%,,,2%,203,"51,900",44%
SE15 6,"395,908",578,4,8%,,,4%,99,"44,700",53%
SE16 2,"381,665",584,2,6%,,,,163,"52,800",54%
SE16 3,"450,333",655,5,6%,"1,927",5.10%,34%,151,"52,200",48%
SE16 4,"565,828",744,4,8%,"2,165",4.60%,1%,207,"61,700",45%
SE16 5,"532,333",707,5,7%,"2,373",5.30%,13%,77,"81,200",26%
SE16 6,"540,455",742,2,7%,"2,166",4.80%,11%,88,"81,900",23%
SE16 7,"548,246",714,8,9%,"2,254",4.90%,3%,244,"69,900",33%
SE17 1,"634,425",841,6,8%,"2,703",5.10%,,337,"51,300",45%
SE17 2,"460,998",656,4,14%,"1,991",5.20%,9%,115,"45,400",58%
SE17 3,"464,497",694,7,14%,"2,378",6.10%,7%,112,"52,900",48%
SE18 1,"414,250",443,6,20%,,,3%,115,"47,300",26%
SE18 2,"425,455",469,5,23%,,,7%,93,"49,700",29%
SE18 3,"468,645",466,3,8%,,,-4%,107,"55,500",21%
SE18 4,"364,917",492,4,8%,,,-4%,158,"50,700",35%
SE18 5,"285,625",484,2,9%,"1,659",7.00%,4%,109,"51,900",37%
SE18 6,"475,690",651,15,8%,"2,057",5.20%,-25%,414,"53,600",35%
SE18 7,"361,499",433,3,15%,,,1%,102,"45,300",38%
SE19 1,"476,128",595,7,18%,"1,712",4.30%,1%,110,"58,600",31%
SE19 2,"437,333",583,10,14%,"1,643",4.50%,4%,107,"58,900",22%
SE19 3,"481,404",551,6,8%,"1,823",4.50%,3%,95,"57,400",20%
SE2 0,"468,636",458,5,14%,,,13%,79,"50,700",19%
SE2 9,"363,682",474,3,12%,"1,858",6.10%,11%,176,"43,800",50%
SE20 7,"422,822",551,11,15%,"1,493",4.20%,7%,120,"58,700",26%
SE20 8,"345,349",555,10,16%,"1,529",5.30%,9%,150,"52,400",38%
SE21 7,,"1,014",3,19%,,,,87,"84,200",8%
SE21 8,"466,379",674,12,32%,"2,093",5.40%,3%,76,"64,500",20%
SE22 0,"682,407",734,8,13%,"2,247",4.00%,3%,61,"66,100",19%
SE22 8,"559,818",749,10,13%,"2,264",4.90%,-2%,107,"70,500",18%
SE22 9,"653,553",797,10,22%,"1,910",3.50%,2%,68,"73,800",17%
SE23 1,"531,857",630,5,9%,"2,030",4.60%,1%,114,"63,400",20%
SE23 2,"506,047",598,10,22%,"1,936",4.60%,-1%,89,"61,100",23%
SE23 3,"481,667",619,11,16%,"1,910",4.80%,2%,89,"63,500",17%
SE24 0,"756,665",790,6,30%,"2,244",3.60%,12%,140,"64,800",33%
SE24 9,"597,778",780,9,32%,"1,940",3.90%,1%,72,"77,000",20%
SE25 4,"421,509",498,11,16%,"1,863",5.30%,-1%,93,"47,700",21%
SE25 5,"355,812",493,7,11%,,,,142,"48,600",27%
SE25 6,"351,958",473,8,9%,"1,406",4.80%,6%,98,"52,900",16%
SE26 4,"491,250",590,8,13%,,,3%,156,"54,900",30%
SE26 5,"451,854",573,5,10%,"1,648",4.40%,10%,160,"55,300",27%
SE26 6,"430,813",568,9,14%,"2,006",5.60%,1%,77,"56,600",24%
SE27 0,"488,846",620,8,14%,"1,932",4.70%,-8%,88,"59,100",28%
SE27 9,"510,707",635,7,12%,"1,815",4.30%,-6%,144,"58,400",24%
SE28 0,"341,530",490,4,5%,"1,780",6.30%,-23%,107,"51,600",29%
SE28 8,"371,042",444,6,21%,,,4%,105,"47,200",30%
SE3 0,"599,998",724,6,13%,"1,967",3.90%,-1%,116,"69,400",14%
SE3 7,"548,599",653,9,13%,"1,879",4.10%,8%,84,"70,300",14%
SE3 8,"564,516",560,7,16%,,,10%,85,"54,100",25%
SE3 9,"529,174",678,5,3%,"2,027",4.60%,2181%,142,"59,400",17%
SE4 1,"590,175",682,12,13%,"2,051",4.20%,1%,80,"60,500",24%
SE4 2,"508,221",651,8,11%,,,-1%,125,"58,700",30%
SE5 0,"471,965",636,6,13%,"2,022",5.10%,44%,153,"49,800",50%
SE5 7,"400,727",629,6,13%,"1,800",5.40%,-22%,100,"49,600",41%
SE5 8,"573,363",730,9,11%,"1,906",4.00%,20%,129,"60,600",32%
SE5 9,"495,999",661,7,15%,"2,209",5.30%,-14%,130,"54,400",44%
SE6 1,"496,296",526,12,18%,,,1%,96,"56,100",19%
SE6 2,"450,769",488,9,15%,"1,587",4.20%,-20%,117,"52,200",20%
SE6 3,"361,205",487,4,9%,,,,154,"46,300",35%
SE6 4,"454,375",562,8,8%,"1,753",4.60%,7%,221,"53,200",20%
SE7 7,"467,734",560,7,10%,"1,891",4.90%,59%,142,"57,000",27%
SE7 8,"446,047",510,4,17%,,,-1%,131,"50,600",38%
SE8 3,"462,791",635,4,5%,"2,004",5.20%,2%,132,"52,300",52%
SE8 4,"392,273",614,4,9%,"1,589",4.90%,9%,261,"50,100",31%
SE8 5,"453,750",673,7,11%,"2,087",5.50%,10%,119,"51,500",46%
SE9 1,"598,373",530,12,52%,,,6%,84,"64,500",12%
SE9 2,"506,135",511,6,28%,,,11%,95,"52,900",18%
SE9 3,"571,406",474,9,29%,,,6%,68,"57,300",14%
SE9 4,"385,343",482,8,13%,"1,805",5.60%,6%,103,"48,000",26%
SE9 5,"442,917",464,3,10%,,,15%,119,"50,300",32%
SE9 6,"462,180",499,4,10%,"1,935",5.00%,-9%,127,"54,200",36%
SG1 1,"239,556",360,5,25%,"1,327",6.60%,5%,351,"42,500",29%
SG1 2,"500,682",403,5,19%,,,2%,99,"47,800",19%
SG1 3,"397,879",407,6,14%,"1,417",4.30%,6%,125,"50,200",20%
SG1 4,"474,868",367,5,10%,,,,113,"50,200",23%
SG1 5,"330,862",331,5,14%,,,8%,72,"44,400",28%
SG1 6,"376,539",399,7,27%,,,10%,37,"56,300",15%
SG10 6,"573,330",494,2,7%,,,,37,"57,200",5%
SG11 1,"545,372",446,3,5%,,,-4%,46,"54,000",5%
SG11 2,"828,235",454,,,,,,53,"61,300",5%
SG12 0,"483,954",475,9,16%,,,-3%,54,"56,200",10%
SG12 7,"450,512",475,11,25%,,,8%,59,"51,800",7%
SG12 8,"577,566",476,5,8%,,,-4%,59,"53,100",9%
SG12 9,"386,540",458,7,16%,,,-4%,110,"55,100",8%
SG13 7,"453,948",482,9,12%,,,3%,57,"59,400",6%
SG13 8,"632,229",527,3,7%,,,1%,63,"58,400",7%
SG14 1,"345,196",504,6,21%,"1,408",4.90%,18%,316,"60,100",13%
SG14 2,"678,114",489,6,12%,,,10%,75,"52,100",16%
SG14 3,"569,692",524,5,16%,,,7%,43,"60,100",8%
SG15 6,"345,720",392,4,14%,,,11%,67,"51,400",7%
SG16 6,"453,877",403,7,16%,,,2%,47,"52,800",7%
SG17 5,"438,804",385,15,18%,,,5%,86,"54,200",9%
SG18 0,"328,283",359,6,13%,,,7%,107,"50,000",18%
SG18 8,"364,731",373,13,18%,"1,344",4.40%,11%,76,"52,000",8%
SG18 9,"517,201",388,5,9%,,,1%,49,"50,700",17%
SG19 1,"360,773",341,6,18%,,,5%,106,"47,500",13%
SG19 2,"451,399",364,9,12%,,,6%,52,"49,300",15%
SG19 3,"527,671",376,4,11%,,,8%,50,"51,800",10%
SG2 0,"351,198",376,5,21%,,,12%,70,"50,500",27%
SG2 7,"511,490",448,4,5%,,,10%,45,"55,100",11%
SG2 8,"363,947",374,5,9%,,,5%,97,"47,500",25%
SG2 9,"359,844",367,9,29%,,,6%,76,"46,700",25%
SG3 6,"492,726",467,6,15%,"1,598",3.90%,4%,55,"57,800",12%
SG4 0,"372,759",469,7,20%,,,4%,44,"55,000",15%
SG4 7,"860,832",512,4,10%,,,6%,46,"54,700",14%
SG4 8,"594,680",470,6,7%,,,3%,37,"54,300",8%
SG4 9,"494,857",543,9,29%,,,2%,58,"59,700",15%
SG5 1,"418,176",496,7,19%,"1,378",4.00%,3%,127,"55,300",6%
SG5 2,"514,367",513,6,18%,,,4%,68,"51,800",13%
SG5 3,"622,588",450,4,10%,,,1%,54,"53,000",12%
SG5 4,"456,515",393,9,11%,,,1%,60,"55,900",9%
SG6 1,"338,646",416,5,21%,,,17%,88,"47,800",28%
SG6 2,"459,375",416,4,20%,,,8%,81,"47,100",12%
SG6 3,"483,000",457,4,29%,,,26%,135,"52,300",20%
SG6 4,"372,069",431,11,38%,,,7%,69,"42,600",28%
SG7 5,"481,938",455,3,6%,,,-4%,63,"54,100",11%
SG7 6,"345,832",442,6,15%,,,-3%,78,"50,500",10%
SG8 0,"755,300",407,3,6%,,,-1%,38,"55,100",12%
SG8 5,"400,975",379,10,13%,,,,67,"54,400",18%
SG8 6,"577,576",403,6,12%,,,6%,65,"53,500",22%
SG8 7,"454,093",412,8,15%,,,9%,47,"55,400",16%
SG8 8,"675,714",414,3,15%,,,8%,33,"56,100",12%
SG8 9,"440,962",427,6,14%,,,4%,61,"56,900",5%
SG9 0,"638,333",445,2,9%,,,,43,"55,400",10%
SG9 9,"518,998",447,8,8%,,,4%,87,"53,300",11%
SK1 3,,209,2,19%,,,100%,,"33,600",38%
SK1 4,"220,498",249,8,46%,,,19%,,"38,700",23%
SK10 1,"360,944",266,3,8%,,,-3%,153,"43,000",11%
SK10 2,"354,943",306,11,18%,,,6%,71,"50,800",9%
SK10 3,"362,030",325,10,18%,,,8%,60,"47,100",7%
SK10 4,"999,448",440,6,5%,,,-3%,39,"53,700",5%
SK10 5,"386,394",346,10,14%,,,6%,43,"47,300",4%
SK11 0,"531,075",341,2,4%,,,10%,34,"46,800",5%
SK11 6,"180,625",248,9,27%,,,16%,275,"42,500",8%
SK11 7,"290,793",275,11,25%,,,18%,81,"40,500",15%
SK11 8,"274,852",273,9,21%,,,18%,64,"43,400",12%
SK11 9,"674,466",371,3,6%,,,8%,36,"51,700",6%
SK12 1,"522,258",398,14,12%,,,10%,37,"51,600",3%
SK12 2,"414,482",333,5,9%,,,8%,52,"51,000",5%
SK13 1,"264,633",260,4,9%,,,19%,87,"39,800",12%
SK13 2,"289,223",255,2,11%,,,35%,59,"38,800",27%
SK13 5,"324,678",306,2,6%,,,,61,"52,200",0%
SK13 6,"366,806",297,6,23%,,,15%,55,"48,100",8%
SK13 7,"420,590",296,4,12%,,,4%,80,"45,800",9%
SK13 8,"266,738",275,11,18%,,,14%,116,"42,100",9%
SK14 1,"183,636",167,5,33%,,,16%,1,"34,100",24%
SK14 2,"243,524",221,5,19%,,,18%,,"38,800",14%
SK14 3,"280,160",250,4,15%,,,8%,1,"36,700",18%
SK14 4,"247,357",244,12,16%,,,9%,1,"37,600",17%
SK14 5,"292,039",265,8,14%,,,6%,,"40,200",9%
SK14 6,"346,213",251,5,9%,,,10%,1,"38,400",5%
SK14 8,"229,992",212,3,17%,,,-6%,1,"40,300",9%
SK15 1,"217,705",224,5,14%,,,13%,2,"36,100",24%
SK15 2,"352,171",240,5,9%,,,3%,,"40,600",9%
SK15 3,"262,269",253,7,20%,,,4%,,"40,900",22%
SK16 4,"206,327",206,4,13%,,,7%,,"36,500",23%
SK16 5,"257,638",255,5,9%,,,8%,,"37,500",21%
SK17 0,"428,328",332,,,,,,37,"42,400",8%
SK17 6,"283,731",240,7,8%,,,-25%,151,"38,000",4%
SK17 7,"232,571",208,9,39%,,,26%,116,"36,300",32%
SK17 8,"325,538",283,3,6%,,,21%,46,"44,600",4%
SK17 9,"301,374",285,7,6%,,,21%,73,"42,900",7%
SK2 5,"309,797",307,14,29%,,,16%,,"41,900",13%
SK2 6,"338,150",272,8,28%,,,12%,,"39,900",21%
SK2 7,"330,000",290,8,23%,,,14%,1,"45,600",5%
SK22 1,"427,070",295,3,16%,,,,28,"44,900",
SK22 2,"386,247",319,5,21%,,,,49,"40,400",3%
SK22 3,"323,747",278,,,,,24%,53,"45,800",1%
SK22 4,"306,552",280,8,20%,,,12%,78,"41,700",2%
SK23 0,"284,228",284,4,8%,,,13%,80,"43,200",2%
SK23 6,"444,167",301,4,22%,,,15%,42,"42,700",4%
SK23 7,"349,664",288,6,6%,,,17%,47,"44,300",4%
SK23 9,"423,229",276,3,10%,,,,44,"43,500",6%
SK3 0,"292,457",303,5,23%,,,8%,17,"41,700",12%
SK3 8,"298,561",283,10,29%,,,13%,,"40,200",21%
SK3 9,"240,517",247,11,59%,"1,059",5.30%,18%,,"37,400",20%
SK4 1,"211,786",249,5,29%,,,14%,,"35,300",17%
SK4 2,"375,500",340,6,32%,,,1%,,"50,200",8%
SK4 3,"377,883",369,6,20%,,,11%,,"55,200",5%
SK4 4,"461,774",366,8,22%,973,2.50%,8%,1,"56,200",3%
SK4 5,"364,687",327,6,35%,,,14%,,"47,100",11%
SK5 6,"223,539",260,11,26%,"1,058",5.70%,7%,,"38,200",17%
SK5 7,"234,348",267,8,38%,,,16%,,"39,200",21%
SK5 8,"241,154",226,2,17%,,,22%,1,"30,300",59%
SK6 1,"320,713",289,7,16%,,,12%,,"39,900",12%
SK6 2,"260,748",285,7,26%,,,12%,1,"39,400",13%
SK6 3,"341,900",305,5,22%,,,-4%,,"36,800",6%
SK6 4,"363,913",309,4,14%,,,14%,,"43,300",5%
SK6 5,"506,469",357,3,7%,,,13%,1,"55,400",2%
SK6 6,"386,671",351,5,14%,,,8%,1,"49,200",3%
SK6 7,"397,053",326,6,10%,,,13%,,"45,900",5%
SK6 8,"419,254",361,3,11%,,,14%,,"49,000",2%
SK7 1,"634,061",406,6,7%,,,5%,1,"58,700",2%
SK7 2,"578,933",380,9,21%,,,1%,,"56,500",3%
SK7 3,"510,400",361,7,18%,,,11%,,"56,300",3%
SK7 4,"248,956",294,5,16%,,,14%,,"43,200",14%
SK7 5,"389,850",354,8,38%,,,8%,1,"49,000",8%
SK7 6,"424,478",337,6,19%,,,14%,,"51,700",1%
SK8 1,"537,638",353,6,15%,,,3%,,"48,200",11%
SK8 2,"328,057",339,7,18%,,,15%,,"42,200",11%
SK8 3,"418,902",336,8,8%,,,17%,1,"47,500",3%
SK8 4,"451,602",342,3,8%,,,8%,1,"53,300",3%
SK8 5,"410,636",354,10,16%,,,6%,1,"48,800",13%
SK8 6,"421,961",365,4,11%,,,11%,1,"52,600",7%
SK8 7,"489,291",388,5,12%,,,9%,,"57,700",4%
SK9 1,"638,835",417,4,12%,,,-24%,181,"61,200",3%
SK9 2,"546,588",391,9,10%,"1,929",4.20%,1%,54,"49,400",7%
SK9 3,"438,488",352,11,19%,,,-5%,102,"44,200",22%
SK9 4,"523,371",383,5,14%,,,-5%,89,"53,100",7%
SK9 5,"544,241",432,7,20%,,,7%,46,"59,800",2%
SK9 6,"588,557",446,6,19%,,,15%,22,"61,000",3%
SK9 7,"682,713",429,8,7%,"1,753",3.10%,10%,54,"54,900",3%
SL0 0,"689,456",533,6,10%,,,-1%,77,"61,900",4%
SL0 9,"645,968",617,4,9%,,,1%,96,"62,000",6%
SL1 1,"255,249",420,4,5%,"1,203",5.70%,37%,406,"62,900",19%
SL1 2,"296,765",407,7,6%,"1,383",5.60%,11%,181,"62,200",19%
SL1 3,"342,817",442,7,9%,"1,488",5.20%,116%,118,"61,500",16%
SL1 5,"413,632",459,9,15%,,,2%,84,"65,500",16%
SL1 6,"367,569",442,4,12%,"1,501",4.90%,9%,78,"62,100",16%
SL1 7,"512,956",463,3,8%,,,,80,"55,000",24%
SL1 8,"712,517",488,5,17%,,,22%,74,"62,400",9%
SL1 9,"291,768",491,2,10%,,,-1%,102,"64,300",8%
SL2 1,"378,962",443,3,7%,,,12%,116,"61,000",28%
SL2 2,"385,920",442,4,12%,,,8%,111,"56,400",30%
SL2 3,"858,292",519,2,3%,"2,518",3.50%,6%,78,"62,800",8%
SL2 4,"707,133",531,3,6%,,,9%,103,"58,900",8%
SL2 5,"370,452",466,6,12%,"1,439",4.70%,-7%,101,"59,700",27%
SL3 0,"286,414",456,3,13%,,,2%,166,"62,100",12%
SL3 6,"690,214",529,,,,,,119,"59,500",11%
SL3 7,"494,416",476,5,6%,"2,020",4.90%,8%,100,"64,800",18%
SL3 8,"387,679",476,10,9%,"1,653",5.10%,7%,127,"63,800",20%
SL3 9,"626,869",510,2,4%,,,-3%,84,"63,100",10%
SL4 1,"513,785",616,4,9%,"2,081",4.90%,6%,433,"70,200",12%
SL4 2,"750,943",533,2,3%,,,9%,50,"66,700",4%
SL4 3,"472,996",538,8,10%,"2,104",5.30%,-1%,45,"71,500",11%
SL4 4,"506,142",489,5,8%,"2,475",5.90%,1%,63,"66,300",6%
SL4 5,"543,923",524,9,18%,"2,155",4.80%,1%,83,"64,800",10%
SL4 6,"559,321",550,3,9%,,,8%,77,"64,000",14%
SL5 0,"784,010",563,4,7%,,,3%,51,"75,200",13%
SL5 7,"846,121",540,3,3%,"2,886",4.10%,13%,69,"68,400",3%
SL5 8,"691,439",517,3,4%,"2,347",4.10%,,30,"74,700",3%
SL5 9,"1,204,447",556,6,6%,"3,953",3.90%,22%,42,"72,600",4%
SL6 0,"513,377",505,7,13%,"1,975",4.60%,2%,112,"62,200",10%
SL6 1,"359,810",500,6,10%,"1,654",5.50%,8%,237,"68,400",6%
SL6 2,"610,383",499,10,16%,"1,869",3.70%,4%,61,"70,500",8%
SL6 3,"724,000",492,6,15%,,,4%,55,"65,800",6%
SL6 4,"547,433",474,6,18%,,,2%,52,"69,100",10%
SL6 5,"740,706",522,4,19%,,,5%,51,"71,300",4%
SL6 6,"617,181",536,7,18%,"1,843",3.60%,14%,36,"70,200",5%
SL6 7,"402,194",478,8,12%,"1,657",4.90%,5%,72,"64,700",15%
SL6 8,"459,376",496,8,9%,"1,644",4.30%,2%,152,"74,100",6%
SL6 9,"868,389",649,5,13%,,,-16%,51,"64,600",4%
SL7 1,"703,091",629,7,15%,,,12%,66,"62,600",9%
SL7 2,"1,258,329",687,5,13%,"3,485",3.30%,10%,71,"63,800",4%
SL7 3,"736,974",595,6,14%,,,5%,33,"66,400",12%
SL8 5,"660,733",569,6,8%,"2,245",4.10%,3%,55,"60,200",5%
SL9 0,"922,407",640,6,14%,,,8%,40,"67,200",4%
SL9 7,"1,636,578",573,2,3%,,,-2%,54,"81,700",12%
SL9 8,"914,283",624,2,3%,,,-10%,78,"75,700",2%
SL9 9,"630,822",603,4,5%,,,1%,67,"67,300",12%
SM1 1,"406,406",505,3,15%,,,-31%,542,"56,500",19%
SM1 2,"483,527",517,14,23%,"1,770",4.40%,4%,65,"58,300",9%
SM1 3,"509,323",528,11,21%,"1,895",4.50%,4%,82,"58,400",11%
SM1 4,"326,274",495,10,13%,"1,673",6.20%,,143,"57,300",12%
SM2 5,"377,935",480,8,15%,"1,614",5.10%,3%,67,"59,500",8%
SM2 6,"359,487",488,9,15%,"1,763",5.90%,10%,65,"57,200",7%
SM2 7,"1,130,750",599,2,7%,,,16%,32,"61,800",2%
SM3 8,"492,372",542,7,11%,,,-13%,78,"61,600",6%
SM3 9,"559,756",547,8,13%,"2,015",4.30%,9%,61,"60,300",7%
SM4 4,"595,177",579,9,23%,,,5%,42,"66,300",3%
SM4 5,"425,171",550,6,18%,,,2%,118,"52,000",26%
SM4 6,"440,594",538,7,20%,,,12%,72,"50,100",28%
SM5 1,"451,330",538,3,22%,,,7%,84,"47,700",30%
SM5 2,"387,863",515,10,29%,,,4%,92,"57,800",13%
SM5 3,"615,750",505,7,32%,,,5%,54,"62,200",5%
SM5 4,"555,385",513,4,31%,,,2%,41,"64,000",8%
SM6 0,"327,033",454,6,23%,,,1%,123,"56,000",11%
SM6 7,"395,833",514,6,17%,,,-2%,111,"58,500",6%
SM6 8,"433,894",483,5,9%,,,,88,"56,800",12%
SM6 9,"463,029",485,6,13%,,,4%,80,"52,600",22%
SM7 1,"840,345",533,6,14%,,,1%,42,"68,600",5%
SM7 2,"542,762",532,8,13%,"1,562",3.50%,5%,57,"59,000",4%
SM7 3,"672,750",538,5,15%,,,-1%,42,"64,700",7%
SN1 1,,210,2,12%,,,,"2,285","43,700",22%
SN1 2,"216,313",265,6,24%,992,5.50%,8%,170,"46,200",31%
SN1 3,"241,242",261,10,21%,913,4.50%,9%,156,"51,100",15%
SN1 4,"299,907",273,9,22%,"1,010",4.00%,4%,73,"56,700",4%
SN1 5,"165,645",228,4,9%,980,7.10%,5%,189,"46,700",15%
SN1 7,"378,165",303,3,21%,,,4%,189,"58,600",12%
SN10 1,"297,159",281,6,23%,,,22%,239,"44,900",15%
SN10 2,"346,378",304,6,15%,,,1%,93,"49,100",29%
SN10 3,"337,280",304,4,14%,,,12%,46,"49,700",9%
SN10 4,"474,898",342,4,10%,,,2%,40,"53,500",7%
